"Term","WordNet Category","Synset Definition","Frequency","Synset Example"
"rupture","act","the act of making a sudden noisy break","1","the act of making a sudden noisy break"
"ruse","act","a deceptive maneuver (especially to avoid capture)","1","a deceptive maneuver (especially to avoid capture)"
"rush","act","the act of moving hurriedly and in a careless manner","3"," ""in his haste to leave he forgot his book"""
"rushing","act","(American football) an attempt to advance the ball by running into the line","3"," ""the linebackers were ready to stop a rush"""
"Russian_bank","act","solitaire with two players using separate packs","1","solitaire with two players using separate packs"
"Russian_Revolution","act","the coup d'etat by the Bolsheviks under Lenin in November 1917 that led to a period of civil war which ended in victory for the Bolsheviks in 1922","1","the coup d'etat by the Bolsheviks under Lenin in November 1917 that led to a period of civil war which ended in victory for the Bolsheviks in 1922"
"Russian_roulette","act","a stunt in which you spin the cylinder of a revolver that is loaded with only one bullet and then point the muzzle at your head and pull the trigger","1","a stunt in which you spin the cylinder of a revolver that is loaded with only one bullet and then point the muzzle at your head and pull the trigger"
"Russo-Japanese_War","act","Japanese victory in the war with Russia (1904-1905) gave Japan power over Korea and Manchuria","1","Japanese victory in the war with Russia (1904-1905) gave Japan power over Korea and Manchuria"
"rustication","act","the construction of masonry or brickwork in a rustic manner","1","the construction of masonry or brickwork in a rustic manner"
"rustling","act","the stealing of cattle","3","the stealing of cattle"
"rut","act","a settled and monotonous routine that is hard to escape","3"," ""they fell into a conversational rut"""
"saber_rattling","act","the ostentatious display of military power (with the implied threat that it might be used)","1","the ostentatious display of military power (with the implied threat that it might be used)"
"sabotage","act","a deliberate act of destruction or disruption in which equipment is damaged","2","a deliberate act of destruction or disruption in which equipment is damaged"
"sabre_rattling","act","the ostentatious display of military power (with the implied threat that it might be used)","1","the ostentatious display of military power (with the implied threat that it might be used)"
"saccade","act","a rapid, jerky movement of the eyes between positions of rest","1","a rapid, jerky movement of the eyes between positions of rest"
"sack","act","the plundering of a place by an army or mob","2"," usually involves destruction and slaughter; ""the sack of Rome"""
"sacking","act","the termination of someone's employment (leaving them free to depart)","1","the termination of someone's employment (leaving them free to depart)"
"sacrament","act","a formal religious ceremony conferring a specific grace on those who receive it","2"," the two Protestant ceremonies are baptism and the Lord's Supper; in the Roman Catholic Church and the Eastern Orthodox Church there are seven traditional rites accepted as instituted by Jesus: baptism and confirmation and Holy Eucharist and penance and holy orders and matrimony and extreme unction"
