FrameNet frame,Definition
Fullness,"A Container is in a state of fullness/emptiness with respect to some Contents. Note the connection between words in this frame and those in the Containers, Emptying, and Filling frames. 'John carried ..."
Function,An Entity is designed for or exists to perform an Activity or fulfill a Role. '' 'This platform will serve as a great stage for tomorrow's play.' 'The ropes serve to tie things together.'
Funding,"A Supplier gives funds to a Recipient to fulfill a need or purpose (Imposed_purpose) of the Recipient. 'The University funded Paige so that she could complete her doctorate.' '' Often, the Imposed_pur..."
Gathering_up,"This frame describes an Agent's gathering of Individuals (people or entities) into a group, the Aggregate, defined by relative proximity. 'The police gathered the suspects into a line-up.' Compare thi..."
Gesture,The words in this frame have to do with non-verbal communication. Topic is not normally expressed with these words. This seems to be related to the absence of a verbal code in cases of gestural commun...
Get_a_job,"A new Employee obtains a Position with an Employer, with which there are certain Tasks associated; in exchange for the performance of these Tasks, the Employee receives Compensation from the Employer...."
Getting,"A Recipient starts off without the Theme in their possession, and then comes to possess it. Although the Source from which the Theme came is logically necessary, the Recipient and its changing relatio..."
Getting_triggered,A System interacts with the environment (which may include a volitional agent) and goes into operation in accordance with its intended purpose. 'The alarm went off as she walked through the entrance.'...
Getting_underway,A Self_mover begins the motion away from a relatively deprofiled Source location. The focus is on the motion rather than on the location that is being departed. The label Self_mover here also includes...
Getting_up,"A Protagonist leaves the place where they have slept, their Bed, to begin or resume domestic, professional, or other activities. Getting up is distinct from Waking up, which is concerned only with the..."
Getting_vehicle_underway,"A Driver prepares a Vehicle for travel by placing it in the normal location for the operation of the vehicle or by detaching it from a place where it was held. 'Throughout Irish history, countless gen..."
Give_impression,"In this class of perception words, a Phenomenon, typically expressed as External Argument, and its perceptual characteristics are given some description. This may be a Characterization describing pure..."
Giving,A Donor transfers a Theme from a Donor to a Recipient. This frame includes only actions that are initiated by the Donor (the one that starts out owning the Theme). Sentences (even metaphorical ones) m...
Giving_birth,A Mother and Father produce a Child or an Egg. 'Betty bore Gerry three intelligent daughters.'
Giving_in,"A Capitulator who has been opposing a Force, which is typically exerted by a Compeller, ceases opposing that Force. As a result, the Force runs its course and an Issue is resolved against the interest..."
Gizmo,This frame contains general words denoting equipment where the Use or purpose is not specified by the lexeme but (typically) by a separate expression. The words are described with respect to the Use f...
Go_into_shape,"A Theme, which may or may not have a default shape or configuration, goes into a particular shape without being made to do so by an agent. Depending on the type of shape, there may be a Locus about wh..."
Goal,A Landmark (in combination with the image schema evoked by particular targets) serves to pick out the final location of a Trajector in a construed or actual motion event. 'Flights into Denver are not ...
Going_back_on_a_commitment,"A Protagonist has made a Commitment but does not honor it, thereby doing harm to an Affected_party. 'My buddy Tom's girlfriend backed out of going to the show with me.' 'However, the employer then bac..."
Gradable_artistic_quality,"This frame contains LUs that ascribe an artistic quality to a work. This frame does not contain ""period"" words such as ""romantic"" or ""classical"". 'With its lack of decor, the church seems quite auster..."
Gradable_proximity,A Figure is (stably) located with respect to a Ground in terms of how the distance between them compares to some general or contextually relevant scale. The Degree of divergence from the expected dist...
Graph_shape,This frame descibes a Shape that Data makes on a Graph. 'The trace of the first trial on the graph on the right shows a sharp increase after stage 1.'
Grasp,"A Cognizer possesses knowledge about the workings, significance, or meaning of an idea or object, which we call Phenomenon, and is able to make predictions about the behavior or occurrence of the Phen..."
